"generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters","percentage_survive"
2,40000,9,9,61.125,61.0225,51.03
3,40000,9,9,58.415,58.73,53.305
4,40000,9,9,59.3875,59.1025,55.6625
5,40000,9,9,60.185,60.255,57.435
6,40000,9,9,61.265,61.3275,59.155
7,40000,9,9,60.91,60.98,59.1175
8,40000,9,9,61.31,61.275,59.66
9,40000,9,9,61,61.0975,59.605
10,40000,9,9,26.63,8.4625,3.6325
11,40000,9,9,78.4375,72.25,69.455
12,40000,9,9,71.4125,68.5175,66.6375
13,40000,9,9,66.3375,65.125,63.5
14,40000,9,9,64.185,63.3175,62.0925
15,40000,9,9,63.2175,62.79,61.6675
16,40000,9,9,61.65,61.275,60.2
17,40000,9,9,62.0475,61.7675,60.8925
18,40000,9,9,62.2725,62.205,61.3625
19,40000,9,9,62.2975,62.195,61.4825
20,40000,9,9,6.48,4.905,0.54
21,40000,9,9,86.2775,86.215,84.8375
22,40000,9,9,76.03,75.94,74.8075
23,40000,9,9,69.2875,69.2,68.2825
24,40000,9,9,66.46,66.4475,65.6075
25,40000,9,9,65.155,65.115,64.3675
26,40000,9,9,63.775,63.815,63.1
27,40000,9,9,63.835,63.7575,63.11
28,40000,9,9,63.34,63.2575,62.7025
29,40000,9,9,62.9225,62.905,62.285
30,40000,9,9,5.315,4.97,0.4425
31,40000,9,9,86.9925,87.0775,85.9425
32,40000,9,9,76.34,76.2575,75.37
33,40000,9,9,70.005,69.9175,69.1425
34,40000,9,9,66.62,66.68,65.875
35,40000,9,9,65.04,65.055,64.3775
36,40000,9,9,63.865,63.845,63.155
37,40000,9,9,63.935,63.8525,63.285
38,40000,9,9,63.255,63.2225,62.695
39,40000,9,9,62.87,62.855,62.3175
40,40000,9,9,5.155,5.05,0.39
