"generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters","percentage_survive"
2,40000,9,9,61.0375,61.5575,51.335
3,40000,9,9,58.275,58.0725,52.995
4,40000,9,9,60.085,59.76,56.635
5,40000,9,9,60.3525,60.15,57.6925
6,40000,9,9,61.06,60.8675,58.9475
7,40000,9,9,61.2925,61.0975,59.53
8,40000,9,9,61.575,61.5025,60.205
9,40000,9,9,61.73,61.705,60.475
10,40000,9,9,32.2575,8.39,4.5075
11,40000,9,9,82.525,71.82,70.015
12,40000,9,9,77.925,72.8175,71.4025
13,40000,9,9,73.83,71.7575,70.4625
14,40000,9,9,69.9875,68.8975,67.72
15,40000,9,9,67.095,66.2975,65.3
16,40000,9,9,66.0575,65.67,64.71
17,40000,9,9,64.3175,63.905,63.085
18,40000,9,9,63.43,63.1125,62.41
19,40000,9,9,63.3025,63.085,62.3675
20,40000,9,9,6.4925,4.33,0.4625
21,40000,9,9,93.59,93.375,91.9625
22,40000,9,9,86.795,86.615,85.3675
23,40000,9,9,77.35,77.25,76.215
24,40000,9,9,69.8025,69.6875,68.845
25,40000,9,9,66.425,66.4325,65.6625
26,40000,9,9,64.2975,64.265,63.555
27,40000,9,9,63.3225,63.405,62.7075
28,40000,9,9,62.8825,62.9275,62.28
29,40000,9,9,62.13,62.115,61.56
30,40000,9,9,5.0825,4.4925,0.38
31,40000,9,9,94.1025,93.96,92.8675
32,40000,9,9,86.9825,86.91,85.915
33,40000,9,9,77.4575,77.4525,76.5625
34,40000,9,9,69.7775,69.825,69.04
35,40000,9,9,66.4525,66.4525,65.7975
36,40000,9,9,64.175,64.265,63.5825
37,40000,9,9,63.6975,63.6925,63.1125
38,40000,9,9,62.9475,62.95,62.3925
39,40000,9,9,62.51,62.48,61.9525
40,40000,9,9,4.915,4.72,0.375
