"generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters","percentage_survive"
2,40000,9,9,61.1275,61.1875,51.265
3,40000,9,9,59.3325,59.0875,53.325
4,40000,9,9,58.565,58.475,54.15
5,40000,9,9,59.1425,59.165,55.8175
6,40000,9,9,59.385,59.5725,56.45
7,40000,9,9,60.07,59.9375,57.345
8,40000,9,9,60.3825,60.315,57.7625
9,40000,9,9,60.6025,60.645,58.31
10,40000,9,9,26.06,11.7025,4.995
11,40000,9,9,67.5625,65.6975,61.3
12,40000,9,9,62.5525,61.5825,58.5775
13,40000,9,9,60.58,60.2925,57.8925
14,40000,9,9,61.3325,61.0575,59.1025
15,40000,9,9,61.3175,61.065,59.4525
16,40000,9,9,61.675,61.615,60.1325
17,40000,9,9,61.305,61.1875,60
18,40000,9,9,62.005,61.9675,60.7825
19,40000,9,9,61.8825,61.7625,60.765
20,40000,9,9,7.625,6.7375,0.845
21,40000,9,9,69.4575,69.2425,68.01
22,40000,9,9,63.265,63.2875,62.0325
23,40000,9,9,62.4725,62.4475,61.3875
24,40000,9,9,62.08,62.0625,61.1325
25,40000,9,9,61.9475,62.045,61.11
26,40000,9,9,62.2525,62.13,61.345
27,40000,9,9,62.18,62.1925,61.3825
28,40000,9,9,62.4575,62.38,61.6625
29,40000,9,9,62.13,62.075,61.3725
30,40000,9,9,6.415,6.25,0.65
31,40000,9,9,70.085,70.0425,69.03
32,40000,9,9,63.7375,63.805,62.87
33,40000,9,9,62.5125,62.46,61.635
34,40000,9,9,62.12,62.15,61.2575
35,40000,9,9,62.4225,62.4425,61.6425
36,40000,9,9,62.405,62.485,61.7025
37,40000,9,9,62.775,62.665,61.9875
38,40000,9,9,62.545,62.5725,61.875
39,40000,9,9,62.2375,62.2,61.5175
40,40000,9,9,6.3475,6.03,0.5525
