"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"16",2,2,1,3,3,2,3,1,1,2,1,1,3,2,2,1,1,3,1,1,1,2,1,2,2,2,1,2,2,2,2,3,2,1,3,1,2,3,2,2,1,2,3,3,3,2,1,3,3,3,2,2,1,1,3,3,1,1,3,2,3,3,3,1,2,1,1,3,1,1,2,1,2,1,3,1,1,1,1,2,2,2,3,2,2,3,1,3,3,1,1,3,1,3,1,2,3,2,3,2
"17",3,1,1,2,1,3,2,1,1,2,3,3,3,1,2,2,3,3,1,2,1,2,1,1,3,1,1,3,3,2,2,3,2,1,1,1,3,3,2,3,2,1,2,2,1,2,2,2,1,3,2,2,1,1,3,1,1,2,1,1,3,1,3,1,3,3,2,1,3,2,2,1,1,3,2,3,3,2,2,1,1,1,3,2,1,1,1,2,2,3,1,2,3,1,1,3,3,2,1,1
"18",3,3,1,3,1,1,1,3,3,3,2,1,1,3,2,1,2,3,1,3,1,1,2,3,1,3,3,1,3,2,2,1,2,3,1,3,1,2,2,2,3,3,1,3,2,1,1,1,2,2,3,1,2,3,2,2,1,1,2,1,3,1,3,1,1,2,3,3,2,3,3,2,2,1,2,3,3,3,3,3,3,2,3,3,3,1,1,3,2,3,1,1,2,3,2,2,1,3,1,2
"19",1,1,1,3,1,3,2,1,1,2,1,2,3,3,1,2,2,1,1,2,2,2,1,3,3,2,2,2,3,2,3,1,2,2,2,2,3,2,2,1,3,1,1,3,1,1,3,2,3,1,3,2,1,1,3,1,1,3,3,1,1,2,1,1,2,1,1,1,2,2,2,1,2,3,1,1,2,1,3,1,2,2,1,2,3,2,1,3,3,1,3,1,3,1,3,3,2,3,1,2
"20",2,3,1,2,3,2,1,1,1,2,3,1,3,3,3,3,1,2,2,2,2,1,3,1,1,3,1,2,2,3,1,2,1,2,3,3,2,3,3,2,2,2,1,1,1,1,3,1,3,3,2,2,2,2,2,1,1,2,1,1,1,3,3,2,1,1,3,2,1,3,2,3,2,3,1,2,3,3,1,2,2,3,3,3,3,3,1,2,2,1,2,1,2,3,2,2,3,2,1,2
"21",3,2,3,2,1,1,1,3,2,3,2,3,1,1,1,1,3,1,1,1,3,3,1,3,1,3,1,3,1,1,3,2,3,2,2,3,1,2,1,3,1,2,3,1,2,3,2,1,2,1,3,3,1,1,2,1,3,2,3,3,2,2,2,2,3,1,1,2,2,2,2,1,1,3,3,1,1,2,1,3,2,2,2,2,2,3,1,3,1,3,1,1,1,2,2,1,3,1,2,2
"22",2,2,1,3,2,3,2,3,2,2,1,2,1,2,3,2,1,2,2,3,3,1,2,3,2,3,1,3,1,2,3,2,3,2,3,3,3,2,3,1,3,1,1,2,1,1,2,1,2,3,2,1,3,2,2,1,3,1,1,2,2,3,1,2,2,2,1,1,3,2,3,3,1,1,2,1,3,2,3,2,1,3,1,2,2,1,1,1,3,1,3,2,3,2,1,3,3,3,3,2
"23",1,3,3,3,2,2,3,1,3,1,3,3,3,3,2,2,1,2,3,2,2,3,3,3,2,2,3,3,3,3,1,1,1,1,3,3,2,1,2,2,2,1,3,1,2,3,3,2,2,2,2,3,2,3,2,2,3,3,2,2,3,3,3,1,3,2,1,3,2,2,1,2,2,3,2,3,1,2,1,2,2,2,1,2,3,1,3,3,2,1,2,3,2,2,2,2,1,2,3,3
"24",1,1,2,3,2,3,3,2,2,3,3,1,1,2,1,3,1,1,3,3,1,3,2,2,3,1,3,3,2,1,1,2,3,1,2,2,3,3,1,3,2,2,1,1,2,1,2,3,1,3,3,3,2,1,3,3,1,1,2,3,2,3,1,1,1,2,3,1,2,3,1,3,2,2,2,2,1,1,1,1,2,1,2,1,3,2,3,3,3,1,1,2,1,2,2,3,2,3,3,3
"25",1,3,3,1,3,3,2,2,1,3,3,1,3,1,3,2,3,2,2,1,1,3,2,2,3,1,2,1,3,3,2,3,3,2,3,1,1,2,1,2,1,3,2,1,3,1,2,2,1,2,2,2,1,3,1,1,1,3,1,3,1,2,2,1,1,2,1,2,1,3,1,1,3,1,1,2,3,2,1,3,3,1,2,3,2,3,3,1,2,1,2,3,1,3,1,2,3,3,3,2
"26",3,2,1,2,3,2,3,2,3,3,1,3,2,2,1,2,1,3,1,1,3,1,1,1,1,3,1,2,2,2,1,2,1,3,2,1,3,1,3,2,1,2,3,3,3,1,1,3,3,3,3,1,1,2,2,2,1,2,2,1,3,3,1,1,1,1,2,3,3,1,2,1,1,2,3,2,1,3,3,1,2,1,2,2,1,2,3,1,3,2,1,3,1,1,3,1,1,1,1,1
"27",1,3,2,3,3,2,3,3,1,3,3,3,1,2,3,1,3,1,1,2,3,1,1,3,1,2,2,3,3,3,2,1,1,2,1,2,2,3,1,1,1,3,1,3,1,1,3,2,3,2,1,2,1,2,2,3,1,2,3,2,3,1,1,1,3,3,1,2,3,2,3,1,3,3,1,2,3,2,1,1,1,2,3,3,3,1,1,3,3,3,3,2,3,3,1,2,1,2,3,1
"28",2,3,2,3,2,3,1,2,2,3,2,3,2,1,2,1,3,3,3,2,2,1,3,3,3,2,2,1,2,3,1,1,1,2,1,1,1,1,3,2,1,1,3,2,1,1,1,2,3,2,2,3,1,2,1,2,3,3,3,2,1,2,3,2,3,3,3,2,2,1,2,3,3,1,1,1,1,2,2,3,1,2,2,3,3,2,3,2,2,3,1,2,1,1,3,3,3,1,3,1
"29",1,2,3,1,1,3,1,2,1,1,2,2,1,1,2,3,3,3,2,2,2,2,2,2,2,3,2,3,1,1,2,2,1,1,3,3,2,2,1,3,3,3,2,1,3,2,3,1,1,1,1,1,1,2,3,1,2,2,2,1,1,3,2,2,2,3,3,2,3,1,2,2,1,1,3,1,1,1,1,2,2,2,3,1,2,1,2,1,3,3,2,2,2,1,2,1,2,1,3,3
"30",1,1,1,1,3,1,2,2,2,3,3,1,3,3,1,1,1,3,3,2,2,2,1,3,2,1,2,3,2,2,3,2,3,2,1,2,2,1,1,2,2,1,1,2,3,3,3,3,1,1,3,1,3,3,1,3,3,1,2,3,3,2,1,1,1,1,3,2,3,3,2,1,2,3,3,1,2,2,2,2,1,3,3,1,3,3,2,1,3,1,3,1,1,3,3,1,2,3,1,2
"31",3,3,2,3,3,3,3,2,3,3,1,1,2,2,2,2,2,1,1,3,3,3,3,1,2,2,3,3,3,2,3,1,3,3,1,3,2,2,3,3,1,2,2,1,2,3,2,3,3,1,1,1,2,3,2,2,2,3,1,2,2,1,1,1,3,2,2,3,2,1,3,2,3,2,2,1,1,1,3,2,1,2,3,1,1,2,3,3,1,2,3,1,2,2,1,3,3,2,1,1
"32",1,1,2,3,3,1,2,1,2,1,2,3,1,2,1,3,3,3,1,1,3,3,2,2,1,2,1,3,3,2,3,2,1,1,3,1,3,1,2,1,2,3,2,3,2,1,3,3,1,3,3,2,1,1,1,1,2,1,3,1,2,2,1,1,1,2,1,1,1,2,3,3,1,1,2,2,3,3,2,1,1,2,1,1,2,3,2,2,2,1,2,3,1,2,2,2,1,1,2,2
"33",3,2,1,3,1,1,1,1,2,3,2,3,2,1,1,2,1,3,3,1,3,2,2,2,2,3,2,3,1,2,3,1,2,1,2,2,1,3,3,1,3,1,1,1,3,1,2,3,1,1,2,2,1,3,3,2,3,1,3,2,1,2,3,1,3,2,1,1,3,2,1,2,1,1,1,3,1,3,1,3,1,1,3,1,1,2,1,3,2,3,2,2,2,2,2,1,1,1,2,1
"34",2,1,1,2,2,2,2,3,2,3,1,1,2,1,2,2,3,1,1,2,3,1,3,1,3,1,2,2,2,1,2,1,1,3,3,2,3,1,1,1,2,3,3,1,3,1,1,3,1,3,1,2,1,2,1,3,1,2,1,1,3,1,1,2,2,1,2,1,3,3,1,2,1,3,3,3,2,1,2,2,2,3,1,2,1,2,2,1,1,1,2,3,3,3,3,2,3,3,1,3
"35",1,1,1,1,2,1,2,3,3,3,1,1,2,3,3,2,1,1,2,1,3,2,2,1,2,3,3,1,2,1,1,1,3,2,1,3,3,3,3,2,3,2,3,2,1,3,2,1,2,1,2,2,2,3,3,2,1,2,2,3,3,1,1,2,1,2,2,1,2,1,3,3,3,2,1,1,1,2,1,1,2,1,3,1,2,3,1,3,1,1,1,1,2,1,2,3,1,1,2,2
"36",1,3,1,2,2,2,3,2,3,1,2,1,3,1,1,1,1,1,3,2,1,1,3,1,3,2,3,1,3,3,3,2,3,2,2,1,1,3,3,1,3,2,3,3,3,1,2,1,2,1,3,2,1,1,3,2,3,3,2,3,2,2,1,2,3,2,3,3,2,1,3,1,1,3,1,1,3,3,3,2,3,1,2,2,3,3,1,3,3,3,1,2,2,3,2,1,2,3,1,2
"37",3,3,2,3,2,2,1,2,3,2,1,2,2,1,2,2,1,2,3,1,2,1,3,2,2,3,2,3,1,1,1,1,1,1,3,3,1,1,2,3,1,2,3,3,3,2,3,2,3,1,1,1,3,1,2,3,3,3,2,1,2,2,1,2,2,3,1,2,2,2,2,3,3,1,2,2,1,3,3,1,1,3,3,3,3,1,3,1,1,1,2,2,1,2,2,3,1,3,1,1
"38",1,2,2,3,3,1,2,2,2,3,3,1,2,2,3,1,1,1,3,2,2,1,3,2,1,3,2,3,3,1,2,1,2,3,3,2,1,1,1,1,2,3,3,2,2,3,3,3,3,2,3,1,2,1,1,1,2,1,2,2,3,1,3,3,1,2,1,2,2,3,1,1,2,1,3,2,2,3,2,2,3,3,1,1,3,1,1,1,2,2,1,3,1,1,3,2,2,1,2,2
"39",1,3,1,2,1,2,3,1,2,3,3,3,2,1,3,2,1,2,3,1,2,2,3,1,3,2,1,2,3,3,1,1,3,3,2,1,1,1,1,2,1,3,3,1,3,2,1,2,2,1,2,3,2,2,2,2,1,2,3,1,3,1,1,1,1,1,3,2,2,1,2,3,2,2,1,3,3,1,1,2,3,3,3,1,1,2,2,2,3,3,2,1,1,3,3,2,3,1,1,2
"40",2,3,3,1,3,3,2,3,3,3,2,1,3,3,3,1,2,3,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,3,2,3,3,1,3,3,2,2,3,2,1,2,1,1,1,3,1,2,2,3,3,3,1,3,2,2,1,3,3,2,2,1,2,1,2,3,2,2,2,1,2,3,3,3,1,3,1,1,2,2,2,3,1,2,1,3,2,3,1,1,3,2,2,1
"41",2,1,2,3,3,2,2,3,2,2,2,3,2,3,3,2,1,3,2,2,1,3,2,2,3,3,1,1,2,3,2,3,2,3,3,1,3,1,1,1,2,2,2,3,2,3,3,3,2,2,1,3,2,1,2,2,3,3,2,3,3,3,3,1,3,2,1,1,2,3,2,3,2,1,2,2,3,1,3,1,2,2,3,3,2,2,1,2,2,2,2,3,3,1,1,3,2,1,1,1
"42",2,3,2,3,2,2,1,1,3,3,1,1,2,3,1,1,3,2,1,1,3,1,1,1,1,3,2,1,3,3,3,1,3,2,3,1,2,3,2,3,2,3,2,1,1,3,1,3,3,2,2,1,2,2,3,2,2,2,2,1,1,2,3,1,1,1,3,2,3,3,2,3,3,1,1,3,2,3,3,1,1,1,2,2,1,1,1,2,1,2,2,3,3,1,3,1,1,3,3,3
"43",1,3,1,2,2,1,1,3,3,3,2,2,3,1,3,1,1,3,2,1,1,3,1,2,1,3,1,3,3,1,1,2,2,2,2,2,3,2,2,2,3,3,1,3,2,1,3,3,1,1,3,2,1,2,3,1,1,3,3,1,3,2,1,1,2,1,2,2,2,3,3,1,3,3,1,3,2,1,3,3,3,3,3,1,2,3,2,3,1,1,1,1,2,1,1,3,2,2,1,2
"44",1,1,1,2,1,3,3,2,2,1,2,1,3,2,3,2,3,2,2,3,1,2,3,1,3,3,3,1,3,1,2,3,3,3,3,1,2,1,2,3,1,3,2,2,1,2,2,1,3,3,1,1,3,2,1,1,2,1,1,2,2,2,2,3,3,3,2,1,2,3,3,2,2,1,2,2,1,3,3,3,3,1,1,3,1,1,2,3,3,3,3,1,1,1,1,3,2,1,3,1
"45",3,2,2,2,1,1,2,2,1,3,1,2,3,2,3,1,3,2,1,1,3,1,3,1,1,1,3,2,2,3,2,2,1,2,1,2,2,2,3,2,1,3,3,3,1,3,2,3,3,2,1,3,1,3,2,2,3,3,2,1,3,3,2,2,1,2,3,3,2,2,1,2,2,2,1,1,1,1,3,3,3,1,2,2,2,2,3,3,2,2,1,3,3,3,3,2,2,1,2,3
"46",2,1,2,1,1,1,2,2,3,1,3,3,3,2,3,3,3,1,3,2,3,3,2,2,3,3,1,1,3,3,1,1,1,3,3,3,1,2,3,3,1,1,1,3,2,3,2,2,3,3,2,3,2,3,2,1,3,1,3,1,3,1,3,3,1,3,2,2,3,2,2,3,2,3,2,1,1,3,3,1,1,3,1,1,3,3,2,2,3,2,2,1,3,3,3,1,2,2,1,2
"47",1,3,1,2,1,2,2,1,1,1,2,1,2,3,3,1,1,3,1,1,2,2,1,1,3,1,2,2,2,1,2,2,2,3,2,1,2,3,1,3,1,1,1,3,1,3,2,1,2,1,3,3,3,1,1,2,3,1,3,3,2,1,1,1,2,3,2,1,2,2,1,2,3,2,1,2,1,2,3,3,1,3,2,1,2,1,3,2,3,3,3,3,2,2,1,1,1,1,3,3
"48",1,1,3,2,3,3,3,2,3,3,3,1,2,3,1,3,3,3,2,1,2,2,3,1,3,3,2,3,3,1,3,3,3,2,1,3,2,1,1,1,2,1,2,1,1,3,3,1,2,1,2,2,1,2,3,2,2,2,3,1,3,1,1,2,3,2,3,2,2,1,3,2,2,2,1,1,1,2,3,3,1,1,1,3,3,1,3,3,1,3,3,2,1,3,3,2,1,3,2,1
"49",2,1,3,3,2,3,2,2,1,3,2,1,1,2,1,1,2,3,2,1,1,1,3,2,1,2,1,1,3,3,3,3,3,2,2,1,1,1,3,2,2,2,3,3,2,2,3,3,3,1,2,1,3,3,1,1,2,1,2,1,2,2,1,2,2,3,1,3,1,3,3,1,3,1,3,3,2,2,3,1,2,1,2,3,3,1,3,1,3,3,1,2,2,1,1,3,2,3,1,3
"50",1,2,1,2,1,1,3,1,1,2,2,1,3,3,3,3,3,2,1,2,1,1,3,3,2,3,3,1,2,3,1,3,3,2,3,3,1,1,2,3,1,3,1,1,1,1,3,1,3,3,3,2,2,2,2,2,2,2,3,2,1,3,3,2,1,3,1,3,3,1,1,3,2,2,2,3,3,3,3,3,1,1,1,2,3,3,1,2,3,2,3,2,2,3,2,1,3,2,2,1
"51",1,3,1,1,2,3,1,1,2,2,2,3,2,3,1,1,1,1,2,3,2,1,1,1,3,2,1,2,1,3,1,1,1,3,1,3,3,3,2,2,1,3,2,2,2,2,1,2,2,2,3,3,1,3,3,3,1,3,1,3,1,2,3,1,2,2,3,2,2,1,1,1,2,2,1,2,1,1,3,1,3,2,2,1,1,3,2,2,3,3,3,3,1,1,1,1,2,1,1,1
"52",1,1,1,1,1,1,2,3,2,2,2,2,3,3,2,1,2,3,1,1,3,3,1,3,1,3,3,2,2,1,2,1,1,1,1,2,3,1,3,1,3,2,2,2,1,1,3,3,1,2,2,2,2,3,2,1,3,2,1,2,3,2,3,1,2,1,2,1,2,1,1,3,3,3,3,2,2,3,3,3,1,3,2,2,3,2,2,2,2,2,2,1,3,1,2,2,3,3,2,2
"53",3,2,1,3,3,2,2,2,2,2,3,2,3,1,2,3,1,2,2,2,1,1,3,3,3,1,1,3,1,1,3,2,3,3,2,1,3,3,1,1,3,1,2,2,1,1,3,2,1,2,1,1,3,2,1,1,2,2,3,2,2,3,2,3,1,3,1,2,2,2,2,3,1,1,3,1,1,2,1,2,3,3,1,2,1,3,3,3,2,3,1,3,2,3,3,3,2,1,1,3
"54",1,1,2,1,2,1,3,2,3,1,2,1,1,1,1,3,3,2,2,1,2,2,3,1,1,2,2,1,2,2,1,1,2,1,3,1,1,1,1,3,3,2,3,2,3,1,1,3,2,3,3,2,2,2,2,2,3,3,1,1,3,2,1,1,3,3,1,3,2,2,3,3,2,2,1,3,1,2,2,2,3,2,1,2,1,3,2,1,2,2,3,3,3,1,2,2,2,1,3,2
"55",2,2,3,2,2,2,3,3,2,2,3,3,2,3,3,3,2,2,1,3,2,3,1,2,3,2,2,1,2,2,3,1,1,1,3,3,3,3,3,2,1,3,3,3,3,3,2,2,1,3,2,2,3,2,1,2,1,2,3,1,1,2,1,2,1,3,3,3,2,1,3,2,1,3,1,3,3,2,3,3,1,3,2,2,3,1,1,3,2,2,1,3,2,3,1,2,2,2,3,3
"56",1,3,1,3,1,1,1,2,2,2,3,1,2,1,1,1,1,2,2,1,2,2,1,1,3,1,2,1,3,2,3,2,3,1,3,2,2,3,2,1,2,1,2,1,1,3,3,3,3,3,3,3,3,1,2,3,1,1,1,2,2,1,3,2,2,1,2,2,2,1,2,2,3,3,2,2,3,3,3,2,1,1,1,1,3,3,3,1,1,2,2,2,2,3,2,2,1,3,1,3
"57",3,3,2,2,2,1,3,2,2,2,3,1,2,1,3,2,3,2,1,3,1,3,3,2,1,3,2,1,1,3,1,3,3,2,1,3,3,2,3,1,3,2,3,2,1,1,2,1,2,3,1,1,2,2,1,3,3,2,1,1,2,1,3,2,1,2,1,2,3,1,1,1,2,3,2,3,2,1,3,1,2,2,1,3,3,1,2,1,2,1,1,2,2,2,2,1,3,3,2,3
"58",1,2,1,3,2,1,3,2,1,3,3,3,1,1,1,3,1,3,3,1,1,3,3,1,2,1,2,1,1,2,3,3,3,3,2,3,3,1,2,2,2,2,3,3,1,2,3,2,2,2,2,1,3,3,1,2,2,2,1,2,2,1,1,1,1,1,2,1,3,3,1,3,3,3,3,1,2,3,3,1,2,2,3,2,3,3,3,3,2,1,2,2,3,3,3,2,2,2,1,1
"59",3,3,2,1,3,2,2,1,3,3,2,1,3,1,1,2,3,1,3,1,2,3,1,1,3,3,2,3,3,2,2,1,3,3,1,2,2,2,3,3,1,2,3,3,3,2,3,1,1,2,3,3,2,1,3,2,1,1,3,3,3,1,3,3,1,3,1,1,3,1,1,3,1,3,3,2,1,1,3,3,1,1,1,2,3,1,1,3,3,1,1,1,3,3,1,2,2,3,2,3
"60",2,3,2,3,2,2,3,2,3,1,1,2,3,3,2,2,3,2,1,2,3,2,2,3,2,1,3,3,2,2,3,1,3,3,3,1,1,2,1,2,1,2,1,3,2,2,2,2,3,2,1,3,2,2,3,3,3,3,1,1,2,2,3,2,2,3,1,3,3,3,1,3,2,1,1,1,2,1,2,2,2,1,2,3,3,3,1,2,2,1,1,3,1,2,2,1,2,1,1,1
"61",3,2,2,3,1,1,1,3,2,2,1,1,1,3,2,1,2,1,2,1,2,3,2,1,2,1,2,3,1,1,2,2,3,1,2,3,1,2,3,3,2,2,2,3,3,1,2,2,2,3,3,3,3,3,1,1,3,3,2,3,3,2,1,1,3,1,2,1,3,1,1,3,2,1,3,1,1,2,1,3,1,2,3,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2
"62",2,1,2,1,2,2,1,3,2,2,3,1,2,2,2,3,3,2,3,3,1,2,1,2,3,3,3,3,1,2,1,1,2,3,3,1,2,1,2,2,3,3,2,2,1,2,3,2,3,1,2,1,2,3,3,3,3,1,1,2,2,1,3,2,2,3,2,1,1,3,1,2,3,2,1,1,2,2,3,1,2,2,3,3,3,2,3,2,3,3,1,2,2,2,2,3,2,1,3,3
"63",2,2,1,1,2,3,3,1,2,1,3,2,1,2,2,2,3,1,2,2,2,1,2,2,1,3,1,2,3,1,2,3,1,1,1,1,3,1,3,1,3,1,1,3,1,1,2,1,1,3,3,1,1,3,3,1,3,2,3,1,1,3,1,3,1,2,1,3,1,1,3,3,1,2,3,2,2,1,1,2,1,1,3,2,2,3,1,3,2,2,2,3,1,2,1,1,3,2,3,1
"64",2,3,1,2,2,2,2,2,3,1,3,1,2,2,3,1,2,2,3,2,3,1,3,2,2,2,1,1,2,3,1,1,3,2,1,3,3,2,2,2,3,1,2,1,2,1,3,1,1,1,3,1,2,2,1,1,2,1,3,3,3,2,1,1,3,2,3,1,2,3,2,3,1,2,2,1,3,1,2,1,2,1,1,3,3,3,2,3,2,2,1,2,3,1,2,2,2,3,3,1
"65",1,3,1,3,3,3,2,2,2,2,3,1,2,2,2,3,3,1,2,1,1,3,3,2,1,1,3,3,3,1,1,1,2,1,1,1,2,1,1,2,2,1,1,3,1,2,1,1,1,3,1,3,2,2,2,3,3,3,3,3,1,3,2,2,1,2,2,1,3,1,1,1,2,3,1,2,2,2,1,1,2,2,2,3,2,2,1,3,2,3,2,2,2,1,1,2,1,1,1,2
